Date,State,Confirmed,Recovered,Deceased,,
25-11-2020,Odisha,316001,308102,1740,,
26-11-2020,Odisha,316645,308839,1757,,
27-11-2020,Odisha,317239,309747,1771,,
28-11-2020,Odisha,317789,310549,1783,,
29-11-2020,Odisha,318307,311256,1787,,
30-11-2020,Odisha,318725,312065,1792,,
01-12-2020,Odisha,319103,312734,1797,,
02-12-2020,Odisha,319583,313394,1803,,
03-12-2020,Odisha,320017,314023,1808,,
04-12-2020,Odisha,320394,314665,1813,,
05-12-2020,Odisha,320803,315270,1818,,
06-12-2020,Odisha,321196,315840,1824,,
07-12-2020,Odisha,321564,316447,1831,,
08-12-2020,Odisha,321913,316970,1837,,
09-12-2020,Odisha,322299,317412,1842,,
10-12-2020,Odisha,322642,317870,1847,,
11-12-2020,Odisha,323029,318278,1851,,
12-12-2020,Odisha,323364,318683,1855,,
13-12-2020,Odisha,323757,319069,1860,,
14-12-2020,Odisha,324089,319458,1864,,
15-12-2020,Odisha,324389,319850,1868,,
16-12-2020,Odisha,324796,320208,1873,,
17-12-2020,Odisha,325147,320584,1878,,
18-12-2020,Odisha,325505,320947,1882,,
19-12-2020,Odisha,325861,321309,1885,,
20-12-2020,Odisha,326233,321647,1889,,
21-12-2020,Odisha,326596,321956,1892,,
22-12-2020,Odisha,326915,322344,1896,,
23-12-2020,Odisha,327279,322648,1899,,
24-12-2020,Odisha,327542,322972,1903,,
25-12-2020,Odisha,327867,323378,1906,,
26-12-2020,Odisha,328201,323749,1910,,
27-12-2020,Odisha,328504,324068,1914,,
28-12-2020,Odisha,328738,324392,1917,,
29-12-2020,Odisha,329001,324775,1921,,
30-12-2020,Odisha,329306,325103,1924,,
31-12-2020,Odisha,329621,325432,1926,,
01-01-2021,Odisha,329866,325733,1929,,
02-01-2021,Odisha,330117,325965,1933,,
03-01-2021,Odisha,330309,326209,1936,,
04-01-2021,Odisha,330492,326507,1938,,
05-01-2021,Odisha,330690,326778,1940,,
06-01-2021,Odisha,330921,327008,1940,,
07-01-2021,Odisha,331151,327290,1941,,
08-01-2021,Odisha,331396,327534,1943,,
09-01-2021,Odisha,331602,327803,1944,,
10-01-2021,Odisha,331862,328043,1944,,
11-01-2021,Odisha,332106,328271,1945,,
12-01-2021,Odisha,332331,328452,1947,,
13-01-2021,Odisha,332541,328622,1948,,
14-01-2021,Odisha,332763,328832,1949,,
15-01-2021,Odisha,332949,329088,1951,,
16-01-2021,Odisha,333127,329318,1952,,
17-01-2021,Odisha,333310,329546,1953,,
18-01-2021,Odisha,333444,329801,1954,,
19-01-2021,Odisha,333566,330051,1955,,
20-01-2021,Odisha,333723,330321,1955,,
21-01-2021,Odisha,333866,330545,1956,,
22-01-2021,Odisha,334020,330757,1956,,
23-01-2021,Odisha,334150,330962,1957,,
24-01-2021,Odisha,334300,331144,1958,,
25-01-2021,Odisha,334430,331284,1959,,
26-01-2021,Odisha,334529,331427,1959,,
27-01-2021,Odisha,334667,331535,1959,,
28-01-2021,Odisha,334780,331667,1959,,
29-01-2021,Odisha,334850,331824,1959,,
30-01-2021,Odisha,334958,331962,1959,,
31-01-2021,Odisha,335072,332103,1959,,
01-02-2021,Odisha,335151,332239,1959,,
02-02-2021,Odisha,335211,332377,1959,,
03-02-2021,Odisha,335282,332499,1959,,
04-02-2021,Odisha,335369,332611,1960,,
05-02-2021,Odisha,335466,332733,1961,,
06-02-2021,Odisha,335548,332842,1962,,
07-02-2021,Odisha,335620,332948,1962,,
08-02-2021,Odisha,335692,333031,1963,,
09-02-2021,Odisha,335797,333139,1963,,
10-02-2021,Odisha,335889,333220,1963,,
11-02-2021,Odisha,335984,333280,1963,,
12-02-2021,Odisha,336042,333351,1963,,
13-02-2021,Odisha,336101,333451,1963,,
14-02-2021,Odisha,336174,333554,1963,,
15-02-2021,Odisha,336262,333637,1964,,
16-02-2021,Odisha,336322,333700,1965,,
17-02-2021,Odisha,336397,333788,1965,,
18-02-2021,Odisha,336460,333888,1966,,
19-02-2021,Odisha,336513,333980,1967,,
20-02-2021,Odisha,336578,334053,1967,,
21-02-2021,Odisha,336636,334107,1967,,
22-02-2021,Odisha,336705,334166,1967,,
23-02-2021,Odisha,336767,334243,1967,,
24-02-2021,Odisha,336835,334333,1967,,
25-02-2021,Odisha,336924,334400,1968,,
26-02-2021,Odisha,337018,334463,1968,,
27-02-2021,Odisha,337104,334519,1968,,
28-02-2021,Odisha,337191,334571,1969,,
01-03-2021,Odisha,337277,334647,1969,,
02-03-2021,Odisha,337351,334703,1970,,
03-03-2021,Odisha,337448,334767,1970,,
04-03-2021,Odisha,337529,334838,1970,,
05-03-2021,Odisha,337620,334902,1970,,
06-03-2021,Odisha,337674,334990,1970,,
07-03-2021,Odisha,337744,335080,1970,,
08-03-2021,Odisha,337803,335168,1970,,
09-03-2021,Odisha,337860,335250,1970,,
10-03-2021,Odisha,337929,335322,1970,,
11-03-2021,Odisha,337992,335408,1970,,
12-03-2021,Odisha,338056,335499,1971,,
13-03-2021,Odisha,338121,335569,1971,,
14-03-2021,Odisha,338192,335660,1971,,
15-03-2021,Odisha,338258,335730,1971,,
16-03-2021,Odisha,338323,335796,1971,,
17-03-2021,Odisha,338405,335857,1971,,
18-03-2021,Odisha,338489,335923,1971,,
19-03-2021,Odisha,338599,335994,1971,,
20-03-2021,Odisha,338719,336066,1971,,
21-03-2021,Odisha,338817,336124,1972,,
22-03-2021,Odisha,338963,336206,1972,,
23-03-2021,Odisha,339076,336266,1972,,
24-03-2021,Odisha,339246,336337,1972,,
25-03-2021,Odisha,339460,336409,1972,,
26-03-2021,Odisha,339694,336482,1972,,
27-03-2021,Odisha,339904,336571,1973,,
28-03-2021,Odisha,340194,336691,1973,,
29-03-2021,Odisha,340402,336809,1974,,
30-03-2021,Odisha,340620,336930,1974,,
31-03-2021,Odisha,340917,337091,1974,,
01-04-2021,Odisha,341311,337212,1974,,
02-04-2021,Odisha,341772,337430,1974,,
03-04-2021,Odisha,342224,337635,1974,,
04-04-2021,Odisha,342695,337935,1975,,
05-04-2021,Odisha,343268,338150,1975,,
06-04-2021,Odisha,343856,338416,1975,,
07-04-2021,Odisha,344647,338662,1976,,
08-04-2021,Odisha,345526,338890,1976,,
09-04-2021,Odisha,346808,339200,1977,,
10-04-2021,Odisha,348182,339603,1979,,
11-04-2021,Odisha,349561,340062,1979,,
12-04-2021,Odisha,351302,340600,1981,,
13-04-2021,Odisha,353086,341123,1983,,
14-04-2021,Odisha,355353,341733,1986,,
15-04-2021,Odisha,358342,342570,1988,,
16-04-2021,Odisha,361450,343522,1991,,
17-04-2021,Odisha,364594,344825,1995,,
18-04-2021,Odisha,368258,346134,1997,,
19-04-2021,Odisha,372703,347637,2001,,
20-04-2021,Odisha,377464,349377,2006,,
21-04-2021,Odisha,382315,351386,2011,,
22-04-2021,Odisha,388479,353551,2018,,
23-04-2021,Odisha,394694,356003,2026,,
24-04-2021,Odisha,401341,359467,2034,,
25-04-2021,Odisha,407457,362931,2041,,
26-04-2021,Odisha,414056,367111,2050,,
27-04-2021,Odisha,420129,371200,2060,,
28-04-2021,Odisha,428515,375721,2070,,
29-04-2021,Odisha,435513,380400,2082,,
30-04-2021,Odisha,444194,385414,2096,,
01-05-2021,Odisha,454607,391048,2107,,
02-05-2021,Odisha,462622,397575,2121,,
03-05-2021,Odisha,471536,404063,2126,,
04-05-2021,Odisha,479752,410227,2141,,
05-05-2021,Odisha,489641,416403,2157,,
06-05-2021,Odisha,500162,423257,2174,,
07-05-2021,Odisha,512400,431658,2193,,
08-05-2021,Odisha,524207,439322,2214,,
09-05-2021,Odisha,534842,447863,2233,,
10-05-2021,Odisha,544873,457569,2250,,
11-05-2021,Odisha,554666,465133,2268,,
12-05-2021,Odisha,565648,473680,2285,,
13-05-2021,Odisha,576297,482345,2304,,
14-05-2021,Odisha,588687,491674,2326,,
15-05-2021,Odisha,600492,502455,2347,,
16-05-2021,Odisha,612224,514532,2366,,
17-05-2021,Odisha,622981,526353,2388,,
18-05-2021,Odisha,633302,536595,2410,,
19-05-2021,Odisha,644401,546631,2431,,
20-05-2021,Odisha,655899,556501,2456,,
21-05-2021,Odisha,668422,567382,2483,,
22-05-2021,Odisha,679530,577983,2509,,
23-05-2021,Odisha,692382,589610,2537,,
24-05-2021,Odisha,703441,601224,2569,,
25-05-2021,Odisha,714380,612993,2602,,
26-05-2021,Odisha,726003,623628,2637,,
27-05-2021,Odisha,732739,635179,2671,,
28-05-2021,Odisha,739955,647133,2704,,
29-05-2021,Odisha,747143,658646,2739,,
30-05-2021,Odisha,756684,670527,2772,,
31-05-2021,Odisha,764997,680932,2807,,
01-06-2021,Odisha,773732,692027,2844,,
02-06-2021,Odisha,782131,702621,2884,,
03-06-2021,Odisha,790970,713055,2926,,
04-06-2021,Odisha,798699,724402,2965,,
05-06-2021,Odisha,806094,732018,3005,,
06-06-2021,Odisha,813096,739376,3047,,
07-06-2021,Odisha,819214,747805,3088,,
08-06-2021,Odisha,825110,756641,3133,,
09-06-2021,Odisha,831129,764673,3176,,
10-06-2021,Odisha,837226,772972,3220,,
11-06-2021,Odisha,842461,781488,3263,,
12-06-2021,Odisha,847313,789066,3310,,
13-06-2021,Odisha,851782,796799,3355,,
14-06-2021,Odisha,856121,804981,3399,,
15-06-2021,Odisha,859526,811780,3441,,
16-06-2021,Odisha,863061,817359,3485,,
17-06-2021,Odisha,866692,823599,3524,,
18-06-2021,Odisha,870498,829851,3561,,
19-06-2021,Odisha,873925,835132,3603,,
20-06-2021,Odisha,877502,840214,3643,,
21-06-2021,Odisha,880533,844801,3686,,
22-06-2021,Odisha,883490,848960,3724,,
23-06-2021,Odisha,886946,853012,3770,,
24-06-2021,Odisha,890596,856498,3814,,
25-06-2021,Odisha,893508,860142,3854,,
26-06-2021,Odisha,897062,863824,3901,,
27-06-2021,Odisha,900470,867402,3940,,
28-06-2021,Odisha,903789,870787,3983,,
29-06-2021,Odisha,906429,874307,4023,,
30-06-2021,Odisha,909800,877540,4071,,
01-07-2021,Odisha,912887,880997,4116,,
02-07-2021,Odisha,916109,884262,4162,,
03-07-2021,Odisha,919026,887420,4207,,
04-07-2021,Odisha,921896,890778,4249,,
05-07-2021,Odisha,924699,894104,4301,,
06-07-2021,Odisha,927186,897362,4352,,
07-07-2021,Odisha,929788,900282,4411,,
08-07-2021,Odisha,932330,903178,4468,,
09-07-2021,Odisha,935136,906519,4529,,
10-07-2021,Odisha,937470,909639,4587,,
11-07-2021,Odisha,939752,912463,4652,,
12-07-2021,Odisha,941745,915400,4715,,
13-07-2021,Odisha,943675,918041,4783,,
14-07-2021,Odisha,945749,920646,4848,,
15-07-2021,Odisha,947859,923209,4914,,
16-07-2021,Odisha,949929,925526,4978,,
17-07-2021,Odisha,952111,927926,5045,,
18-07-2021,Odisha,954326,930418,5111,,
19-07-2021,Odisha,955974,932666,5169,,
20-07-2021,Odisha,958059,935007,5225,,
21-07-2021,Odisha,959986,936950,5294,,
22-07-2021,Odisha,961934,939160,5361,,
23-07-2021,Odisha,963851,941204,5430,,
24-07-2021,Odisha,965715,943069,5498,,
25-07-2021,Odisha,967548,945177,5565,,
26-07-2021,Odisha,969185,947381,5627,,
27-07-2021,Odisha,970814,949350,5687,,
28-07-2021,Odisha,972517,951049,5756,,
29-07-2021,Odisha,974132,953088,5821,,
30-07-2021,Odisha,975690,954929,5887,,
31-07-2021,Odisha,977268,956828,5955,,
01-08-2021,Odisha,978705,958601,6019,,
02-08-2021,Odisha,979737,960386,6086,,
03-08-2021,Odisha,980866,962088,6155,,
04-08-2021,Odisha,982181,963718,6221,,
05-08-2021,Odisha,983523,965370,6289,,
06-08-2021,Odisha,984731,966928,6355,,
07-08-2021,Odisha,985827,968453,6419,,
08-08-2021,Odisha,987070,969916,6488,,
09-08-2021,Odisha,987956,971391,6554,,
10-08-2021,Odisha,988997,972710,6618,,
11-08-2021,Odisha,990075,973579,6683,,
12-08-2021,Odisha,991182,974756,6750,,
13-08-2021,Odisha,992375,975999,6810,,
14-08-2021,Odisha,993507,977197,6876,,
15-08-2021,Odisha,994565,978240,6940,,
16-08-2021,Odisha,995433,979407,7006,,
17-08-2021,Odisha,996153,980471,7074,,
18-08-2021,Odisha,997146,981316,7139,,
19-08-2021,Odisha,998187,982319,7207,,
20-08-2021,Odisha,999173,983245,7276,,
21-08-2021,Odisha,1000084,984224,7342,,
22-08-2021,Odisha,1000937,985302,7411,,
23-08-2021,Odisha,1001698,986334,7479,,
24-08-2021,Odisha,1002323,987369,7546,,
25-08-2021,Odisha,1003210,988090,7615,,
26-08-2021,Odisha,1004059,988854,7681,,
27-08-2021,Odisha,1004875,989840,7750,,
28-08-2021,Odisha,1005654,990796,7818,,
29-08-2021,Odisha,1006503,991630,7887,,
30-08-2021,Odisha,1007112,992473,7954,,
31-08-2021,Odisha,1007750,993235,8022,,
01-09-2021,Odisha,1008469,993901,8075,,
02-09-2021,Odisha,1009223,994639,8081,,
03-09-2021,Odisha,1010072,995474,8088,,
04-09-2021,Odisha,1010753,996300,8093,,
05-09-2021,Odisha,1011558,997063,8100,,
06-09-2021,Odisha,1012167,997790,8108,,
07-09-2021,Odisha,1012805,998591,8115,,
08-09-2021,Odisha,1013567,999165,8123,,
09-09-2021,Odisha,1014338,999859,8131,,
10-09-2021,Odisha,1015083,1000548,8137,,
11-09-2021,Odisha,1015713,1001254,8145,,
12-09-2021,Odisha,1016362,1002128,8151,,
13-09-2021,Odisha,1016833,1002810,8157,,
14-09-2021,Odisha,1017261,1003603,8161,,
15-09-2021,Odisha,1017718,1004164,8167,,
16-09-2021,Odisha,1018298,1004845,8171,,
17-09-2021,Odisha,1018926,1005564,8175,,
18-09-2021,Odisha,1019621,1006320,8181,,
19-09-2021,Odisha,1020244,1007066,8188,,
20-09-2021,Odisha,1020754,1007666,8194,,
21-09-2021,Odisha,1021216,1008226,8199,,
22-09-2021,Odisha,1021950,1008671,8203,,
23-09-2021,Odisha,1022594,1009088,8210,,
24-09-2021,Odisha,1023133,1009582,8216,,
25-09-2021,Odisha,1023735,1010183,8223,,
26-09-2021,Odisha,1024320,1010829,8228,,
27-09-2021,Odisha,1024764,1011482,8233,,
28-09-2021,Odisha,1025309,1012116,8240,,
29-09-2021,Odisha,1025874,1012583,8245,,
30-09-2021,Odisha,1026476,1013142,8251,,
01-10-2021,Odisha,1026953,1013833,8255,,
02-10-2021,Odisha,1027431,1014412,8262,,
03-10-2021,Odisha,1027959,1015018,8267,,
04-10-2021,Odisha,1028366,1015608,8273,,
05-10-2021,Odisha,1028819,1016165,8276,,
06-10-2021,Odisha,1029412,1016594,8280,,
07-10-2021,Odisha,1029994,1017116,8287,,
08-10-2021,Odisha,1030518,1017714,8291,,
09-10-2021,Odisha,1031044,1018311,8295,,
10-10-2021,Odisha,1031696,1018749,8302,,
11-10-2021,Odisha,1032144,1019218,8308,,
12-10-2021,Odisha,1032673,1019764,8314,,
13-10-2021,Odisha,1033288,1020168,8321,,
14-10-2021,Odisha,1033809,1020645,8327,,
15-10-2021,Odisha,1034276,1021180,8332,,
16-10-2021,Odisha,1034634,1021742,8335,,
17-10-2021,Odisha,1035077,1022250,8338,,
18-10-2021,Odisha,1035417,1022780,8343,,
19-10-2021,Odisha,1035973,1023398,8347,,
20-10-2021,Odisha,1036532,1023849,8349,,
21-10-2021,Odisha,1037056,1024422,8351,,
22-10-2021,Odisha,1037523,1025025,8354,,
23-10-2021,Odisha,1037964,1025507,8358,,
24-10-2021,Odisha,1038411,1025917,8362,,
25-10-2021,Odisha,1038836,1026277,8365,,
26-10-2021,Odisha,1039269,1026774,8369,,
27-10-2021,Odisha,1039818,1027108,8371,,
28-10-2021,Odisha,1040230,1027654,8375,,
29-10-2021,Odisha,1040595,1028207,8378,,
30-10-2021,Odisha,1040969,1028697,8382,,
31-10-2021,Odisha,1041457,1029147,8386,,
